expCode;probCode;1::time;1::Difficulty;1::Confidence;1::Answer;1::Description;1::Correct;2::time;2::Difficulty;2::Confidence;2::Answer;2::Description;2::Correct;3::time;3::Difficulty;3::Confidence;3::Answer;3::Description;3::Correct;4::time;4::Difficulty;4::Confidence;4::Answer;4::Beschreibung;4::Correct;5::time;5::Difficulty;5::Confidence;5::Answer;5::Description;5::Correct;6::time;6::Difficulty;6::Confidence;6::Answer;6::Description;6::Correct;7::time;7::Difficulty;7::Confidence;7::Answer;7::Description;7::Correct;8::time;8::Difficulty;8::Confidence;8::Answer;8::Beschreibung;8:.Correct;9::time;9::Difficulty;9::Confidence;9::Answer;9::Description;9::Correct;10::time;10::Difficulty;10::Confidence;10::Answer;10::Description;10::Correct;11::time;11::Difficulty;11::Confidence;11::Answer;11::Description;11::Correct;12::time;12::Difficulty;12::Confidence;12::Answer;12::Description;12::Correct;13::time;13::Difficulty;13::Confidence;13::Answer;13::Description;13::Correct;14::time;14::Difficulty;14::Motivation;14::Answer;14::Description;14::Correct;15::time;15::Difficulty;15::Confidence;15::Answer;15::Description;15::Correct;16::time;16::Difficulty;16::Confidence;16::Answer;16::Description;16::Correct;17::time;17::Difficulty;17::Confidence;17::Description;17::Beschreibung;17::Correct;18::time;18::Difficulty;18::Confidence;18::Answer;18::Description;18::Correct;19::time;19::Difficulty;19::Confidence;19::Answer;19::Description;19::Correct;20::time;20::Difficulty;20::Confidence;20::Answer;20::Description;20::Correct;21::time;21::Difficulty;21::Confidence;21::Answer;21::Description;21::Correct;22::time;22::Difficulty;22::Confidence;22::Answer;22::Description;22::Correct;23::time;23::Difficulty;23::Confidence;23::Answer;23::Description;23::Correct;;Summe::correct;(MaximalWert:46)
peTask;atdvw;100,71;3;3;24;"Erst werden 2 Variablen erstellt, dann wird eine
while Schleife so oft durchlaufen wie x größer als
1 ist. Innerhalb der Schleife wird das Ergebnis
jeweils mit x multipliziert und danach 1 von x
abgezogen. Wenn Schleife nicht mehr durchlaufen
wird, wird nur noch das Ergebnis ""result"" ausgegeben.";1;385,435;2;2;1;"Zuerst werden zwei Strings auf deren Länge
vergleichen, dann wird geschaut ob die beiden
Strings Buchstaben an den gleichen Index-
werten haben, ist dies der Fall, wird der Zähler
um 1 erhöht.";2;231,631;3;3;3;"Erst wird Zahl1 und Zahl2 verglichen, erster
if-Block wird ausgelassen. Temp- Wert wird mit 3
belegt, so wird 2. if-Block ausgeführt,
Zahlenbelegungen werden verändert.

Beim zweiten Durchlauf der do while Schleife wird
dann abgebrochen da temp = 0, dann AUsgabe der 
2. Zahl.";1;632,541;1;1;14, 5, 7;"- Array mit 3 Feldern anlegen
- Zählschleife wird nicht durchlaufen da i kleiner
als Länge vom Array
- Ausgabe des Arrays mit Zählschleife";0;635,446;1;1;;"Mehrmals eine verschachtelte while/ if- Schleife
durchlaufen um m zu bestimmen.";0;360,078;3;3;10;"Schleife durchlaufen, bei jedem Durchlauf
Zählvariable auf Ergebnis aufaddieren, nach
Abbruch Ergebnis ausgeben.";2;265,863;0;4;42;"Verschachtelte for/ if Schleife durchlaufen um
result Variable zu bestimmen, dann Ausgabe
Ergebnis.";0;67,778;0;0;42;;0;1,54;0;0;;;0;0,802;0;0;;;0;0,723;0;0;;;0;0,732;0;0;;;0;52,611;3;3;42;Werte vertauschen.;2;49,845;0;0;;;0;2,182;0;0;;;0;20,652;3;3;6;"Zahlen addieren, Ergebnis teilen und dann
Ausgabe.";2;177,716;3;3;"Substring is contained: Java.
Substring is not contained: Pascal.";Strings durchsuchen.;2;2,115;0;0;;;0;2,258;0;0;;;0;109,443;3;3;1;Zeichenkette aus Ints bilden und ausgeben.;0;4,595;0;0;42;;0;3,525;0;0;42;;0;2,917;0;0;42;;0;;12;
peTask;eibig;54,376;3;3;1;"AUSGABE = 24!! falsch eingetippt sorry!
durch eine rekursion wird das produkt von 4 mal 3 mal 2 mal 1 
also 4Fakultät ausgerechnet und dann ausgegeben.";1;107,601;3;3;1;"In der methode werden zwei Strings mit städtenamen eingespeichert.
dann wird die länge des längeren wortes als vergleichswert gespeichert
dann werden die beiden worte verglichen ob sie an der gleichen stelle im wort die gleichen buchstaben haben
am ende wird die zahl der gleichen buchstaben an der gleichen stelle im wort ausgegeben";2;281,514;2;2;93;die methode teilt zwei zahlen mit rest, gibt das ergebnis aus und schaut ob die eine größer der anderen ist damit das modulo funktioniert das macht es so lange bis kein rest mehr da ist, die kleinere zahl wird jeweil ohne leerzeichen ausgegeben.;0;143,488;2;2;{7, 5, 14};die methode dreht ein array um und gibt das umgedrehte array aus.;0;351,363;1;0;6;methode findet die mitte des arrays;0;108,5;3;3;13610;methode addiert die zahlen von 1 bis 4 und gibt die zwischenergebnisse aus;2;112,201;3;3;19;gibt den höchsten wert im array aus;2;225,507;1;0;5;auf zwei zahlen wird einmal die summe beider modulo 10 gerechnet und die 1 zahl ganzzahlig geteilt das ganze rekursiv bis bei der ganzzahligen teilung das ergebnis null wird dann wird die zwiete zahl ausgegegben;0;125,411;1;0;WAHR;;1;109,923;3;3;"10
";gibt die größte dreier zahlen aus;2;103,803;2;3;8;die methode rechnet 2?(2 hoch 3);2;63,78;2;0;WAHR;;1;40,252;3;3;42;bekommt 2 zahlen und vertauscht sie;2;76,963;3;3;olleH;dreht ein wort das es bekommt um;2;89,355;1;0;...;bekommt zwei arrays macht eine berechnung auf deren inhalt und gibt die ergebnisse in einem neuen array aus;0;13,89;3;3;6;bekommt zwei zahlen und berechnet die hälfte der summe;2;24,284;0;0;...;???;0;188,917;3;3;70;berechnet das kleinste gemneinsame vielfache;2;46,918;1;0;...;append kenn ich ned;0;91,74;2;0;100;?;1;51,621;2;1;"6
1
4";;0;45,381;2;0;...;;0;63,804;3;3;"2
6
22
14
8";verdoppelt die werte in einem gegebenen array;2;;24;
peTask;ELPHL;41,042;3;4;24;FakultÃ?t einer Zahl;1;85,78;3;4;1;Ã?bereinstimmung von 2 WÃ¶rtern;2;83,77;2;4;3;GrÃ¶Ã?ter gemeinsamer Teiler;2;105,751;2;4;5 7 14;Sortiert das Array;2;107,761;2;4;2;Suche einer Zahl aus einem Array durch BinÃ?rsuche;2;59,751;3;4;10;Summe von i = 1 bis zu einer Zahl n;2;51,672;3;4;19;GrÃ¶Ã?te Zahl eines Arrays;2;65,725;3;4;8;Quersumme;2;45,28;4;4;WAHR;Liefert true, falls Primzahl, sonst false;2;32,921;4;4;10;Die grÃ¶Ã?te der 3 Zahlen;2;79,051;3;4;8;Potenz;2;58,44;3;4;WAHR;Liefert zurÃ?ck, ob Palindrom oder nicht;2;42,997;4;4;42;Vertauscht die Zahlen;2;48,82;3;4;olleH;Gibt das gespiegelte Wort aus;2;346,969;2;3;" 67 69
 73 81";Berechnet das Matrizenprodukt;2;15,72;4;4;6;Den Durchschnitt zweier Zahlen;2;83,688;3;4;"Substring is contained: Java
Substring is not contained: Pascal";PrÃ?ft bei 2 WÃ¶rtern, ob diese im String enthalten sind;2;173,875;3;4;70;kleinste gemeinsame Vielfache;2;435,344;1;3;Here Are A Bunch Of Words;Schreibt jeden ersten Buchstaben eines Wortes groÃ?;2;92,016;3;4;100;Berechnet die binÃ?re Darstellung;2;90,337;3;3;461;Vertauscht die ersten mit den letzten Elementen des Arrays;2;111,307;3;4;4,5;Berechnet den Durchschnitt der mittleren Werte des Arrays.;2;59,281;4;4;2622148;Verdoppelt das Array und gibt es hinterher aus;2;;45;
peTask;EOKAR;88,788;4;4;Berechnet die Fakultät von x. In dem Fall: 4! = 24 ;Fakultät von x.;1;87,792;4;4;Es wird 1 ausgegeben;Bestimmt die gleichen Buchstaben von zwei Strings.;2;120,39;4;4;3 wird ausgegeben;Kleinster gemeinsamer Teiler;2;154,821;3;4;5 7 14;Sortiert ein Array, wobei das kleinste Element an der vordersten Stelle steht;2;216,421;3;4;2;Gibt die Position von key im Array an.;2;42,828;4;4;10;Summiert die Zahlen von 1 bis n.;2;53,167;4;4;19;Gibt das größte Elemet eines Arrays aus.;2;143,638;;;8;;1;55,785;4;4;WAHR;Testet, ob eine Zahl Prim ist.;2;24,616;4;4;10;Gibt die Größte von 3 Zahlen an.;2;69,547;4;4;8;Potenz zweier Zahlen berechnen;2;38,932;4;4;WAHR;Geprüft, ob ein Wort ein vorwärts und rückwärts identisch ist;2;29,814;4;4;42;Die Werte zweier Varibalen werden getauscht;2;35,687;4;4;olleH;Ein String wird invertiert;2;302,713;4;3; 67 69 73 81;Produkt zweier Matrizen;2;22,74;4;4;6;Mittelwert zweier Zahlen;2;90,554;4;4;"""Substring is contained: Java"" 
""Substring is not contained: Pascal""";Testet, ob ein Wort in einem Satz enthalten ist.;2;131,18;3;3;700;;0;161,813;3;3;Here Are A Bunch Of Words;Lässt jedes Wort mit einem Großbuchstaben beginnen;2;55,188;4;4;100;Rechnet eine Dezimalzahl in eine Binärzahl um.;2;64,387;4;4;4 6 1;Spiegelt ein Array.;2;87,149;3;3;4,5;Mittelwert eines Arrays berechnen ;2;34,526;4;4;2 6 22 14 8;Multipliziert jeden Eintrag eines Arrays mit dem Wert 2;2;;42;
peTask;eomhi;30,399;4;4;24;Die methode berechnet die multiplikation von 4*3*2;1;80,538;4;4;1;"Die methode sucht die Anzahl der gleichen
buchstaben an den gleichen Stellen in zwei Strings";2;83,88;4;4;3;"Die methode berechnet den größten gemeinsamen Teiler
zweier zahlen.";2;154,273;4;4;"5
7
14";Die methode ordnet die zahlen aufsteigen;2;247,79;2;4;2;"Die methode sucht den index an dem der Schlüssel abgeschspeichert ist
mit binärsuche";2;34,144;4;4;10;Die methode summiert die zahlen von 1 bis n (hier 4) auf;2;40,492;4;4;19;Die methode sucht das maximum aus einem int Array;2;61,15;4;4;8;die methode rechnet die Reste der divsion der zahl durch 10 zusammen;2;39,117;4;4;WAHR;"Die methode überprüft ob eine zahl (hier 11) eine
primzahl ist";2;29,904;4;4;10;"diese methode sucht den größten wert aus drei
int variablen";2;44,097;4;4;8;"diese methode potenziert num2-mal num1 also hier
2^3";2;44,576;4;4;WAHR;"diese methode überprüft ob man ein Wort von vorne
und von hinten lesen kann";2;17,284;4;4;42;diese methode vertauscht die werte zweier variablen;2;31,872;4;4;olleH;diese methode dreht einen String um;2;481,057;2;3; 67 69 73 81;die funktion führt eine matrixmultiplikation durch;2;16,991;4;4;6;;1;62,189;4;4;"Substring is contained: Java
Substring is not contained: Pascal";;1;100,857;4;4;70;"diese methode sucht das kleinste gemeinsame vielfache
zweier zahlen";2;88,552;4;4;Here Are A Bunch Of Words;Die methode macht die Anfangsbuchstaben aller Wörter groß;2;112,124;4;4;100;"die methode berechnet ob die zahl und jeweils immer ihre
hälfte gerade ist";2;117,049;4;4;"4
6
1";Diese methode spiegelt das array am mittleren index;2;95,497;4;0;7;"Die methode gibt 4 oder 5 (ich glaube 5) zurück
in der vorherigen eingabe habe ich eine Klammer übersehen
die methode gibt den mittelwert der zwei mittleren zahlen des sortierten
arrays zurück";1;51,398;4;4;"2
6
22
14
8";die methode multipliziert jedes feld im array mit 2;2;;42;
peTask;hiaan;55,542;3;4;24;"4*3*2
3-facher Schleifendurchlauf";1;65,965;3;4;1;Überprüfung wie viele Buchstaben von 2 Strings gleich sind;2;105,327;2;3;0;-;0;96,344;3;3;5715;Sortierung der Zahlen von kleinster bis größter Zahl;2;93,618;3;2;5;Gibt es die Zahl key in dem array?;1;58,976;3;4;6;Summe der Zahlen 1-3;1;27,89;4;4;19;Suche größte Zahl im array;2;124,083;2;2;8;Summe aus 1/10 von number % 10 solange number nicht 0;2;99,002;3;4;WAHR;Ist number eine Primzahl?;2;41,314;4;4;10;Bestimmung der größten Zahl.;2;85,002;3;3;8;Berechnung von num1 ^ num2;2;26,692;4;4;WAHR;Suche nach Palindrom;2;25,912;4;4;42;Vertausche Werte von 2 Variablen;2;26,157;4;4;olleH;Bestimme reverseString;2;283,092;0;0;??;?;0;19,437;4;4;6;Durchschnitt zweier Zahlen berechnen;2;119,929;3;3;"Substring is contained: Java
Substring is not contained: Pascal";Ist key im als Teilstring im Wort word enthalten?;2;90,548;2;2;70;Ist number2 durch number1 teilbar ohne Rest?;1;192,184;2;2;Here Are A Bunch Of Words;Schreibe jeden Anfangsbuchstaben eines jeden Wortes im String groß.;2;104,65;3;4;100;Darstellung einer Zahl in Binärdarstellung;2;37,21;3;4;461;Umdrehung der Zahlenreihenfolge im array;2;85,617;2;3;9;Wenn das array ungerade ist, gebe die mittlerste Zahl aus, sonst addiere die 2 mittleren Zahlen und gebe sie aus.;1;48,923;4;4;2622148;Verdopple die Zahlen im array;2;;37;
peTask;iimar;144,471;3;4;24;brechnet produkt, bis abbruchbedingung erreicht ist;1;172,748;3;4;1;überprüft anzahl gleicher buchstaben, zweier strings an der selben stelle;2;238,875;3;2;3;brechnet den ggt zweier zahlen;2;308,706;3;3;"5
7
14";sortiert array aufsteigend;2;307,851;2;1;0;;0;127,26;3;3;10;addiert zahlen;2;37,916;4;4;19;gibt die größte zahl aus;2;163,637;1;0;10;;0;62,497;4;4;FALSCH;überprüft, ob die zahl eine primzahl ist;2;96,835;4;4;10;gibt größte zahl aus;2;81,924;4;4;8;num1^num2;2;67,612;4;4;WAHR;überprüft ob wort ein palindrom ist;2;28,491;4;4;42;vertauscht var1 und var2;2;91,911;4;4;Hello;Konkatenation zweier strings;0;318,571;2;3;...;ergebniss der matritzenmultiplikation von array1 und array2;1;38,339;4;4;6;durchschnittlicher wert von a und b;2;114,499;4;4;"Substring is contained: Java
Substring is not contained: Pascal";gibt aus ob substring enthalten sind;2;360,474;4;3;70;liefert ggt;2;148,728;1;1;;;0;66,844;4;4;100;i als binärzahl;2;60,867;1;1;;;0;35,134;1;1;;;0;47,9;4;4;"1
6
22
14
8";Verdoppelt jeden eintrag in array;2;;32;
peTask;lrpti;42,207;3;3;24;eine Variable in einer Schleife mit kleiner werdenden Werten multiplizieren;1;74,18;2;3;1;zwei Strings vergleichen;1;92,208;3;3;3;Rest zweier Zahlen berechnen, der ersten den Wert der zweiten zuordnen und der zweiten den Rest -> bis Rest = 0;1;229,317;1;1;7514;das Array umdrehen;0;171,599;1;2;2;"""key"" in ""array"" suchen";2;47,433;2;3;10;"""result"" um größer werdende Werte (von 0 bis 4) erhöhen";1;41,283;3;3;2;kleinsten Wert in Zahlenreihe suchen;0;126,003;2;2;5;Zahl durch 10 teilen bis die Zahl 0 ist und den Rest jeder Division speichern (und ausgeben);0;79,893;3;3;WAHR;prüfen ob eine Zahl prim ist;2;33,401;4;4;10;größte von drei Zahlen bestimmen;2;45,281;3;3;8;3. Ergebnis des 2-er Einmaleins berechnen;1;35,858;4;4;WAHR;bestimmt, ob ein Wort ein Palindrom ist;2;19,018;4;4;42;die Werte zweier Variablen tauschen;2;29,487;4;4;olleH;Wort rückwärts ausgeben;2;557,623;0;0; 67 82 69 73;zwei Matrizen lustig multiplizieren;1;15,207;4;4;6;Hälfte der Summe zweier Werte;2;73,842;2;2;"Substring is contained: Java
Substring is not contained: Pascal";findet heraus, ob eine Zeichenkette in einer anderen enthalten ist;2;143,443;2;3;70;errechnet kleinsten gemeinsamen Nenner zweier Zahlen;2;154,969;2;1;Here Are A Bunch Of Words;Wörter in einer Zeichenkette groß schreiben;2;54,21;3;3;1010;Zahl in binär ausgeben;1;98,261;3;3;"4
6
1
";Array umdrehen;2;95,984;3;3;4,5;Median errechnen;2;39,556;4;4;"2
6
22
14
8
";alle Werte im Array verdoppeln;2;;33;
peTask;ondac;59,661;4;4;24;In einer Schleifes das Produkt zweier Zahlen berechnen;1;121,578;3;4;1;Prüft gleichheit zweier Strings auf eine vorgegeben Länge;2;128,774;3;4;3;Mudulo zweier Zahlen behält die kleinere und rechnet erneut bis die eine Zahl eine Vielfacheder anderen ist;1;174,424;3;4;5714;Vergleicht die Größem von Zahlen im Array und tauscht diese ggf. aus;2;168,864;3;4;5;;0;52,62;4;4;12;;0;100,23;4;4;19;Gibt den größten Wert des Arrays aus;2;99,698;2;3;8;"summiert das ergegbnis mit dem mudulo einer anderen Zahl 
die danach durch 10 dividiert wird.";2;58,896;4;4;"true
";"Addiert immer eins zu i und prüft ob es sich restlos duch 11 teilen lässt.
Falls ja gebe false aus sonst true";2;40,559;4;4;"10
";Ermittelt die Größte der drei Zahlen;2;57,73;4;4;8;Produkt zweier Zahlen wobei sich ein Faktor ändert.;1;73,253;3;4;WAHR;"Prüft ob der erste Buchstabe eines Wortes gleich
dem letzten Buchstaben, der zweite gleich dem
Vorletzten usw (Palimdrom)";2;42,639;4;4;42;Tauscht die Werte zweier Variablen;2;41,403;4;4;olleH;Gibt den String in umgekehrter Reihenfolge aus;2;719,483;0;1;"46  53 9
68 84 14
78 62 15";Mulipliziert zwei Matrizen miteinander;1;20,373;4;4;6;addiert wei Zahlen und teilt dann durch 2;2;146,674;3;3;"Substring is contained: Java
Substring is not contained: Pascal";Prüft ob ein Wort in einem String enthalen ist;2;94,41;3;3;"70
";"bestimmt das max und min zweier Zahlen.
Prüft dann ob die Größere zahl mult. mit einer anderen sich restlos durch die andere teilen lääst";1;268,427;2;3;here Are A Bunch Of Words;"Nimmt nach dem ersten wort den ersten buchstaben jedes
wortes und schreibt ihn groß";2;67,236;3;3;1;"nimmt eine Zahl prüft ob vielfaches von 2 ist falls ja
hängt es eine 0 an den String sonst 1";0;111,221;3;3;"461
";Tauscht das erste Element gegen das Letzte;2;96,349;2;3;4;sortiert das array und adiert das mittlere element mit seinem Vorgänger;0;49,158;4;4;"2
6
22
14
8";Multipliziert jedes Element mit 2;2;;33;
peTask;orHhp;111,687;2;4;24;Berechnet: 1*4*3*2 und gibt das Ergebnis aus.;1;88,939;3;4;1;Zählt an wie vielen Stellen zwei Strings übereinstimmen, indem es beide Strings von links nach rechts vergleicht, bis ein String zu Ende ist.;2;87,921;2;1;3;Findet den größten gemeinsamen Teiler von zwei Zahlen, in diesem Fall von 12 und 9 und gibt diese aus.;2;135,738;2;2;"4
7
14";Sortiert ein Array aufsteigend und gibt dann den Inhalt des sortierten Arrays aus.;2;64,128;4;4;2;Sucht eine Zahl in einem sortieten Array mittels binärer Suche.;2;71,352;3;4;10;Addiert 0, 1, 2, 3 und 4 auf und gibt das Ergebnis aus.;2;17,522;4;4;19;Bestimmt den maximalen Wert in einem Array.;2;80,704;3;3;8;Bestimmt die Quersumme einer Zahl (323) und gibt diese aus.;2;88,544;4;4;WAHR;Testet ob eine Nummer (11) eine Primzahl ist und gibt das Ergebnis (true/false) aus.;2;45,608;4;4;10;Bestimmt die größte von drei Zahlen und gibt diese aus.;2;111,264;2;4;8;Poteniert eine Basis (2) mit einem Exponenten (3) und gibt das Ergebnis aus.;2;37,879;4;4;WAHR;Testet ob ein String ein Palindrom ist und gibt das Ergebnis aus.;2;34,937;4;3;42;Tauscht den Inhalt von zwei Variablen gegeneinander aus und gibt eine der Variablen aus.;2;20,11;4;4;olleH;Kehrt einen String um.;2;161,748;4;4;Das Ergebnis der Matrizenmultiplikation von ((5,6,7),(4,8,9)) und ((6,4),(5,7),(1,1));Multipliziert zwei Matrizen und gibt das Ergebnis aus.;1;20,834;4;4;6;Addiert zwei Zahlen, teilt die Summe durch zwei und gibt das Ergebnis aus.;2;55,396;4;4;"Substring is contained: Java
Substring is not conained: Pascal";Testen ob zwei Teilstrings in einem lange String vorkommen und gibt das Ergebnis für jeden Teilstring aus.;2;107,315;3;4;70;Bestimmt das kleinste gemeinsame Vielfache zweier Zahlen und gibt es aus.;2;88,025;3;3;Here Are A Bunch Of Words ;Wandelt alle Anfangsbuchstaben der Wörter in einem String in Großbuchstaben um und gibt den String aus.;2;29,88;4;4;100;Gibt die Binärdarstellung einer Zahl aus.;2;67,208;4;3;"4
6
1";Kehrt ein Array um und gibt das Ergebnis aus.;2;75,968;4;4;3,5;Bestimmt den Median eines Arrays und gibt diesen aus.;1;48,409;4;4;"2
6
22
14
8";Multipliziert jeden Eintrag eines Arrays mit zwei und gibt das resultierende Array aus.;2;;43;
peTask;ORSOS;55,737;4;4;24;Sie multipliziert die zahlen von 4 bis 2 mit einander;1;107,219;4;4;1;"Sie vergleicht die Buchstaben beider Strings, bei übereinstimmung wird der counter um 1 
 erhöht";2;149,458;3;4;3;Sie berechnet den kleinsten gemeinsamen Teiler;2;105,07;3;4;"5 7 14
";Bubble sort aufsteigende sortierung;2;310,59;2;3;2;Er sucht den Key in einen Sortierten array;2;33,884;4;4;10;adiert alle zahlen von 0 bis n auf;2;34,069;4;4;19;Er sucht das Maximum im array;2;158,398;3;3;8;keine ahnung;1;43,363;4;4;WAHR;Testet ob number eine primzahl ist;2;62,301;4;4;10;gibt die größte der 3 zahlen aus;2;32,516;4;4;8;die potenz von num1 ^ num2;2;19,725;4;4;WAHR;schaut ob word ein palindrom ist;2;34,853;4;4;42;Tauscht var1 mit var2 und gibt dann var1 aus (was ja var2 ist);2;26,292;4;4;olleH;Dreht das wort word um;2;216,275;2;4; 67 69 73 72;Matrix Multiplikation;1;21,542;4;4;6;;1;112,392;4;4;"Substring is contained: 15
Substring is not contained: -1";Schaut ob key1 und key2 im word enthalten sind und wo sie das erste mal auftreffen;1;109,935;3;4;Error;schaut ob number1 ein vielfaches von number2 ist und auch welches;0;87,973;4;4;Here Are A Bunch Of Words;Macht den ersten buchstabe jedes wortes zu Uppercase;2;98,611;4;4;100;wandelt die zahl i in Binär darstellung um;2;89,326;4;4;"4 6 1
";Spiegelt das Array in der Mitte;2;115,974;3;4;4,5;nimmt den mittelwert der beiden mittleren Zalhen des Sortierten arrays;2;21,211;4;4;2 6 22 14 8;nimmt jedne eintrag des arrays mit 2 mal;2;;39;
peTask;rgsel;84,87;3;4;24;"Multipliziert Zahlen mit einer while Schleife, welche ein dekrementielle for-Schleife simuliert.
Es finden 3 Berechnungen statt
1 * 4 = 4
4 * 3 = 12
12 * 2 = 24";1;79,17;4;4;1;Zählt die Anzahl der gemeinsemen Buchstaben zweier String, die an der _selben_ Stelle stehen. Vergleicht dabei nur die Zeichen bis das kürzere Wort komplett durchlaufen wurde.;2;122,791;2;4;3;Sucht den größten gemeinsamen Teiler ;2;162,225;2;4;"5
7
14";Sortiert das Array aufsteigend;2;115,091;3;4;2;Binärsuche;2;56,183;4;4;10;Summenfunktion;2;49,769;4;4;19;Ermittlung des Maximums in einem Array;2;87,655;3;4;8;Berechnung der Quersumme;2;85,016;3;4;WAHR;Primzahl-Test;2;41,008;4;4;10;"Gibt die größte von drei Zahlen aus.
Liefer gar kein Ergebnis, falls die größte Zahl doppel vorkommt, also z.B.:
num1= 5
num2 = 10
num3 = 10

da weder (num2 > num3) noch (num3 > num2)
=> Keine Ausgabe (für diesen Fall)";2;92,335;4;4;8;"num1 ^ num2 (=num1 ""hoch"" num2)";2;44,987;4;4;WAHR;"Palindrom-Test
(War eigentlich beim Lesen von ""otto"" schon zu Erahnen ;) )";2;29,52;4;4;42;Vertauschen von zwei Variablen mittels einer dritten Hilfsvariablen zum Zwischenspeichern;2;40,964;4;4;olleH;Kehrt einen String um;2;576,063;3;4;67 51 ? ?;Matrixmultiplikation. (Sorry Ergebnis wurde nicht komplett bestimmt...);1;21,551;4;4;6;Mittelwert zweier Zahlen;2;71,492;4;4;"Substring is contained: 15
Substring is not contained: -1";Ermittelt ob und ggf. wo (Welche Stelle ab 0 zählend) ein gewisser Teilstring bzw. Suchstring in einem anderen String enthalten ist.;1;128,428;3;4;70;Sucht das kleinste gemeinsame Vielfache;2;106,557;3;4;Here Are A Bunch Of Words;Wandelt den ersten Buchstaben aller Wörter in einem String in einen Großbuchstaben um.;2;59,527;3;4;1;"Die Ausgabe wäre ""100"", nicht ""001"", SORRY!
Wandelt jedenfalls einen Int-Wert in eine Binärzahl um";2;109,156;3;4;"4
6
1";Kehrt ein Array um;2;91,858;3;4;4,5;"Ermittelt den Wert, der in der Mitte eines Arrays steht.
Ist dieser nicht vorhanden, wird der Mittelwert der zwei Zahlen berechnet, die ""um die Mitte herum"" stehen.";2;49,554;4;4;"2
6
22
14
8";Verdoppelt die Werte in einem Array;2;;43;
peTask;rhlhn;77,844;2;3;24;fakultät berechnen;1;66,614;2;3;1;anzahl übereintimmender buchstaben zweier strings;2;148,202;1;2;3;kleinster gemeinsamer teiler;2;185,831;1;2;"5
7
14";sortiert den array;2;117,856;1;2;2;gibt position des key-wertes im array aus;2;61,083;2;3;4;addiert n zu result;0;36,758;2;3;19;gibt größten wert im array aus;2;147,789;1;2;8;quersumme;2;90,243;2;3;WAHR;ist zahl primzahl?;2;22,26;3;3;10;größte zahl herausinden;2;76,369;2;3;8;"berechnet ""num1 hoch num2""";2;55,878;2;2;WAHR;ist string palindrom?;2;54,155;3;3;42;"tauscht werte von var1 und var2,
gibt neuen wert von var1 aus";2;18,536;3;3;olleH;gibt wort rückwärts aus;2;400,662;1;0; 67 ...;matrixmultiplikation;1;22,337;3;4;6;mittelwert zweier zahlen;2;48,746;3;4;"Substring is contained: Java
Substring is not contained: Pascal";prüft, welche strings im wort-string enthalten sind;2;125,546;2;2;70;nächsthöheres vielfaches der zahl, das die kleinere zahl enthält;2;119,536;1;2; are a bunch of words;"""löscht"" das erste wort des satzes s";0;132,135;2;2;0;umrechnung in binär;1;68,25;2;2;"4
6
1";dreht array um;2;116,771;2;2;4;"mittelwert der beiden mittleren werte des array,
bz. direkt der wert des mittleren werts des array";2;41,544;3;3;"2
6
22
14
8";verdoppelt die werte im array;2;;39;
peTask;vbtoh;55,611;3;4;24;"Es wird eine zahl mit einer anderen zahl multipliziert, wobei die eine zahl so lange 
veringert wird bei jedem Multiplikationsschritt bis sie nicht mehr grösser eins ist und
somit die berechnug beendet wird und das result ausgegeben wird.";1;62,632;4;4;1;"Vergleich zweier Städte auf ihre gemeinsamen Buchstaben 
am gleichen Index.";2;118,757;2;2;3;;1;263,07;1;4;"5
7
14";Die Plätze von Zahlen in einem int Array werden getauscht.;1;136,532;3;2;2;;1;87,68;3;4;10;"eine zahl selber addiert mit einer um eins wachsenden zahl.
";2;67,266;4;3;19;Bestimmung des Maximums eines int arrays.;2;243,207;1;1;8;;0;99,665;2;2;WAHR;"Überprüfung ob eine zahl die kleiner ist als number ein 
vielfaches ist von number.";2;57,975;4;4;10;"Berechnet den größten Wert dreier Zahlen und gibt diesen in
der Konsole aus.";2;70,109;3;4;8;Potenzrechnen zweier zahlen.;2;97,804;3;3;WAHR;Palindrom berechnung.;2;61,65;4;4;42;Tauschen der int Werte bei zwei int Variablen.;2;55,45;4;4;olleh;Berechnung eines Strings rückwerts.;2;199,332;0;0;;;0;15,113;4;4;6;Berechne das Mittel zweier Zahlen;2;118,406;4;4;"Substring is contained: 15
Substring is not contained: -1";"Überprüft ob ein String key1 oder key2 in word, also in
einem Wort auftauchen.";1;190,501;0;1;Error;;0;62,89;0;0;;;0;56,298;3;2;;Endlosschleife;0;116,087;3;3;"4
6
1";Tausche erste und letzte position in einem int array.;2;76,449;3;3;6;;0;55,969;4;4;"2
6
22
14
8";Verdoppelung eines jeden int Werts innerhalb eines int arrays.;2;;29;
